organisation,text,label,stance_pred,roberta_stance,correct
Alliance for Automotive Innovation,C. Historical Technology Adoption Versus EV Penetration Assumptions,Other,Neutral,Oppose,False
Alliance for Automotive Innovation,"EPA is assuming that automobile manufacturers can increase BEV production as quickly as they have adopted new transmission or engine technologies, despite the need to build entirely new supply chains and manufacturing facilities.",Feasibility of producing vehicles,Oppose,Support,False
Alliance for Automotive Innovation,Underlying such rapid growth is also an assumption that the majority of new vehicle buyers will accept BEVs and their inherent changes to driving habits.,Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,[See original comment for Figure 2: Examples of historical automotive technology adoption29 compared to projected BEV market share under the EPA proposal.],Other,Neutral,Oppose,False
Alliance for Automotive Innovation,"Figure 2 shows the penetration rate of automotive technologies that have been introduced in the last nineteen years. Technologies that follow the most aggressive growth curve are those that are generally transparent to the customer. Eight speed transmissions, gasoline direct injection (GDI) engines, and stop-start have become standard features, and have little or no impact on customer driving behaviors. BEVs, on the other hand, require drivers to make active changes to their driving habits and potentially additional investments (e.g., home charging equipment). In short, BEVs require change, whereas many of the most successful automotive technologies do not.",Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,"EPA has assumed a steep growth in BEV adoption at rates typically only seen in the evolution of disruptive technologies such as the cell phone, the television and microwave ovens, all of which added significant direct convenience and other benefits to customers and that cost substantially less at the time of purchase than an automobile. BEVs, on the other hand, have not thus far experienced such rapid adoption. In terms of convenience or additional new utility, BEVs offer generally superior acceleration performance, home refueling (a convenience not available to all customers), potentially lower fuel costs (that are dependent on where and when a\n\nvehicle is charged), and environmental benefits (important to some, but transparent to many)",Vehicle utility,Oppose,Support,False
Alliance for Automotive Innovation,"Thus, EPA makes an extremely aggressive assumption for a nascent technology that has not been fully embraced by the consumer and that faces many additional industrial and market challenges.",Market challenges,Oppose,Support,False
Alliance for Automotive Innovation,"Rapid adoption is generally achieved through customer interest and demand for products. According to the latest JD Power EV Index, the percentage of Americans who say they are ""very unlikely"" to buy an electric vehicle as their next car is growing. JD Power has found that the EV-skeptic contingent has steadily grown from 18% to 21% of respondents between January and March 2023. Those ""very likely"" to go electric has stayed flat this year at 27%. These trends are seen across buyer demographics as well. While the majority of baby boomers and pre-boomers are not considering EVs, 33% of Generation Z shoppers also told JD Power they were either ""somewhat unlikely"" or ""very unlikely"" to buy an EV.\n\nThe premise that “Modern vehicles have sufficient power without the use of enrichment”288 is highly subjective and ultimately decided by the customer and their increasing demand for vehicle utility. Such a broad declaration gives the impression that EPA believes that vehicle utility has reached a practical zenith or that any incremental utility can and should now be capped in order to facilitate a new, narrow emissions reduction strategy through the elimination of enrichment. This is in contrast with EPA’s historical practice of setting performance-based standards that generally assume at least maintaining current levels of performance (i.e., not negatively affecting a vehicle’s utility).\n\nNew vehicle purchasers generally desire increased vehicle features, including power, not less. Power, and the enhanced utility and driving dynamics it enables, are core customer-demanded functional attributes of a vehicle and engine combination. The preference of customers for improved features transcends all price points and vehicle segments. New vehicle purchasers consistently raise the bar on what they decide to be sufficient.",Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,"Customers who seek specific power levels and are dissatisfied with the reduced power of downsized engines due to prohibitions on enrichment would likely revert to seeking out higher displacement engines or shift into larger vehicle segments. Worse yet, customers may simply reject new offerings and remain in older vehicles longer, further increasing the rising average age of vehicles on the road and delaying rollouts of other technologies. Any of these outcomes would detract from achieving the agency’s overall goals of reduced emissions and improved fuel economy.",Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,"In the past, customers who sought greater vehicle utility or higher performance did so through selection of optional engines with greater displacement. However, industry, driven in part by GHG and fuel economy regulations, has developed entire families of downsized engines that have proven capable of meeting customer demands for power while simultaneously increasing efficiency and lowering GHG emissions. This is exactly the strategy that EPA previously identified as the technological pathway to meeting increasingly stringent GHG emissions regulations while maintaining existing performance levels.",Other,Neutral,Support,False
Alliance for Automotive Innovation,"Enrichment is a critical strategy that has enabled this technological shift to lower displacement engines, ensuring their safe and durable operation in transient high-power demand situations. Manufacturers use enrichment to ensure that when customers demand high power, they can do so without the risk of costly damage or interrupted performance.\n\nCustomer needs for power include, but are not limited to, the ability to tow a large trailer up an occasional steep grade, to operate the vehicle with a full load of passengers and cargo, and to rapidly accelerate on a short freeway entrance ramp to safely merge into traffic. Other customers, for example those purchasing supercars, expect superior performance and racetrack i",Consumer desires,Neutral,Support,False
Alliance for Automotive Innovation,"In each case, the power requirement from the engine depends on the customer’s usage, and if its “sufficient power” is inadequate to accomplish their task, then the customer may be exposed to potentially unsafe and inadequate operation and will be dissatisfied with their vehicle’s utility. A sudden reduction or interruption of power in the midst of a driving maneuver (e.g., passing on a grade) could be disruptive to the driver and confusing to other drivers. In some cases, this may create an unsafe traffic condition if the vehicle suddenly loses power, forcing other drivers to take evasive actions.",Vehicle utility,Oppose,Oppose,True
American Free Enterprise Chamber of Commerce (AmFree) et al.,"The agency’s conclusion that compliance with the proposed rule is feasible critically depends on the electric-vehicle adoption rates it projects for model years 2027 through 2032. EPA expects that by 2032, 67 percent of light-duty vehicles and 46 percent of medium-duty vehicles will be battery-electric. 88 Fed. Reg. at 29,329, 29,331. Those numbers are staggering. Current adoption rates are much lower, and the assumptions that EPA makes to project such sizeable increases are unwarranted.\n",Market challenges,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Today, battery-electric vehicles make up a small minority of vehicles in both the light-and medium-duty categories. Manufacturers offer a limited number of models,",Market challenges,Neutral,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Today, battery-electric vehicles make up a small minority of vehicles in both the light-and medium-duty categories. Manufacturers offer a limited number of models, and relatively few consumers buy them.",Consumer desires,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Although EPA claims that the production of electric vehicles is growing rapidly, see 88 Fed. Reg. at 29,188–89, the U.S. Department of Energy reports that there are only 68 models of light-and medium-duty battery-electric vehi-cles available for the current model year. See U.S. Dep’t of Energy, Alternative Fuels Data Ctr., Alternative Fuel and Advanced Vehicle Search, https://tinyurl.com/y853dwvt (last accessed June 26, 2023). Thirty-five of them are se-dans or wagons; twenty-nine are SUVs; four are pickup trucks; and none are vans. Id. This limited number of options may be a result of exceedingly low demand.",Market challenges,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"According to the agency, in 2022, battery-electric vehicles accounted for only 807,000 new car sales, or about 5. percent of the new light-duty pas-senger-vehicle market. 88 Fed. Reg. at 29,346. Currently, “in most of the United States, the share of EVs is zero or near-zero.” Kenneth T. Gillingham et al., Has Consumer Acceptance of Electric Vehicles Been Increasing?, Forthcoming, Am. Econ. Ass’n, at 6 (Jan. 2023) (“Consumer Acceptance”). This is particularly true in rural areas. In Wyoming for example, there were “only 456 electric cars and light trucks registered statewide as of March 2022.” Robert N. Charette, The EV Transition Explained: Converting Gasoline Superusers, IEEE Spectrum (Dec. 11, 2022) (“EV Transition”), https://tinyurl.com/5dnry66s.",Consumer desires,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"By and large, the light-and medium-duty sectors have not embraced a shift from internal-combustion-engine vehicles to electric ones.\n\nEPA’s projected increase in electric-vehicle adoption also rests on unrealistic expectations of increased future sales. In addition to assuming that “consumer uptake” will increase as more models become available and charging infrastructure develops—issues addressed elsewhere in this comment—the agency asserts that growing interest and satisfaction with electric-vehicle tech-nology, as well as decreasing costs, will play a substantial role in turning the tides toward electrification. See 88 Fed. Reg. at 29,189, 29,312; Draft RIA at 4-",Market challenges,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Consumer Interest and Satisfaction. Although nearly 95 percent Americans in the market for a new car chose not to purchase an electric vehicle last year, EPA claims that American consumers are increasingly interested in, and satisfied with, electric-vehicle technology. That assertion rests on a collection of un-justified inferences.\n\nFirst, EPA cites one recent survey reporting that more than one-third of Americans said that they would either “seriously consider or definitely buy or lease” a battery-electric model today if they were in the market for a new vehicle. 88 Fed. Reg. at 29,189. But other data undermine EPA’s reliance on abstract consumer “affinity” (id.) for electric vehicles",Consumer desires,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Other polls show that, even when there is an expressed interest in purchasing an electric vehicle, consumers often do not follow through. For example, “[a] 2022 CarGurus survey found that 35 percent of new car buyers expressed an interest in purchasing a hybrid, but only 13 percent eventually did.” Robert N. Charette, Convincing Consumers to Buy EVs: How Range, Affordability, Reliability, and Behavioral Changes Figure into Purchase Decisions, IEEE Spectrum (Jan. 23, 2023) (“Convincing Consumers”), https://tinyurl.com/3p26536j. “Similarly, 22 percent expressed interest in a battery electric vehicle . . . , but only 5 percent bought one.” Id. Just as manufacturer announcements are not a reliable indicator of actual future production, abstract consumer surveys are not a reliable indicator of actual future purchase.",Market challenges,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Second, EPA asserts that most drivers who have opted for electric vehicles in the past have chosen to buy another one and often “express resistance to returning to an [internal-combustion-engine] vehicle.” 88 Fed. Reg. at 29,189. But repeat purchases of electric vehicles by current electric-vehicle owners does not contribute to meaningful growth in electric-vehicle adoption, especially to the extent they purchase new electric vehicles to replace existing ones.",Consumer desires,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Moreo-ver, a significant number of electric-vehicle owners do, in fact, switch back to conventional models. Sean Szymkowski, Surprising Number of EV Owners Switch Back to Gas Power, Study Says, CNET (May 4, 2021), https://ti-nyurl.com/ybt2mxy3. Even in California—which has a high rate of adoption, the most charging infrastructure in the country, and a history of state-law measures designed to incentivize the purchase of electric vehicles—18 percent of electric-vehicle owners traded their electric models in for gas-powered vehicles between 2015 and 2019, largely due to insufficient home charging set-ups. Id. Various factors—such as the price of electricity, safety concerns, and reliability—may cause that trend to continue or even increase in the future. At this early stage in electric-vehicle technology, it is far from clear that any pur-chaser—let alone most of them—will make a permanent switch from tried and true internal-combustion-engine model",Other,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Finally, EPA cites sales data purportedly showing that “some segments” of the market prefer electric vehicles to their internal-combustion-engine counter-parts. 88 Fed. Reg. at 29,189–90. One of the studies the EPA relies on, how-ever, makes clear that those segments are in the “high price brackets”—i.e., generally luxury vehicles—and that “the number of vehicles sold in these high price brackets is relatively small.” Gillingham, Consumer Acceptance at 8; see also Charette, EV Transition (“Battery-electric vehicle owners ‘earn a lot more than not just the U.S. population but [also] the population of new vehicle buyers.’”). EPA offers no reason to believe that the preferences of the limited number of consumers who are interested in and able to purchase those high-end models is a reliable indicator of future purchases by the majority of American drivers.",Consumer desires,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Perhaps recognizing this weakness, EPA instead suggests that sales data for high-end electric vehicles is indirect evidence that forcing manufacturers to increase their electric-vehicle offerings may result in increased adoption. Citing the asserted preferences for electric vehicles in those high-end “segments,” EPA posits that the lack of widespread penetration in the light-and medium-duty markets at large is “at least partially [] constrained due to the lack of offerings needed to convert existing demand into market share.” 88 Fed. Reg. at 29,190. But EPA’s conjecture that increased offerings would cause increased demand does not follow. Manufacturers already offer low-priced models and the number of drivers that purchase them remain low. For example, the Nissan Leaf, which is “the most affordable new electric car in the United States” (starting at $27,800) was purchased by only 1,276 drivers during the third quarter of 2022. Colin Ryan, 2023 Nissan LEAF, Kelley Blue Book (June 21, 2022), https://tinyurl.com/mw2372hc; see also Mark Kane, U.S.: Nissan LEAF Sales Noted the Worst Third Quarter Even, Inside EVs (Oct. 9, 2022), https://ti-nyurl.com/mryu23e7.",Market challenges,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"In addition, lack of offerings may be merely one among a number of limi-tations that constrains broader adoption of electric vehicles. That purchasers in high-end segments (where electric-vehicle offerings are more available) might prefer electric vehicles to a greater extent does not mean that increasing offerings in other segments will inexorably drive up demand among all consumers with different needs. This is especially true for consumers in rural areas.",Consumer desires,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"See Charette, EV Transition. For example, drivers in states like Idaho, Montana, and South Dakota “are likely to have additional concerns about buying EVs” because of battery life. Charette, EV Transition. One report indicates that a high-mileage driver switching from a Ford-150 to a Lightning and driving it the same number of miles “will find that their battery warranty will expire in about 3. years,” with the cost of replacement running between $28,556 and $35,960. Id. Ford’s CEO himself acknowledged that, “in mountainous states, driving requirements are ‘different than how we’ve designed (our EV) vehicle so far.’” Id. And “[a]nother potential bump in the road” is that “EVs are designed for over-the-air software service and feature updates, but cell service can be highly un-reliable in rural areas,” making “[l]engthy trips to dealers . . . inevitable.” Id. The Department of Transportation explains that “[r]educed battery perfor-mance and EV range during winter months, as well as protection from the ele-ments while waiting for a vehicle to charge, are a further concern for rural com-munities in cold climates, particularly to those that do not have access to relia-ble electric service.” Implementation Challenges and Evolving Solutions for Rural Communities, U.S. Dep’t of Transp., https://tinyurl.com/3rkwfxpw.",Vehicle utility,Oppose,Support,False
American Free Enterprise Chamber of Commerce (AmFree) et al.,"Each of these problems must be resolved before a widespread shift to elec-tric vehicles is plausible. “[E]ven in cases where consumer appetite for ZEVs is high, a lack of adequate charging infrastructure could hold the market back and potentially stall progress.” Marie Rajon Bernard et al., Deploying Charging Infra-structure to Support an Accelerated Transition to Zero-Emission Vehicles, ZEV Tran-sition Council, at 4 (Sept. 2022). And multiple studies report that charging is a top concern among prospective electric-vehicle buyers. See, e.g., Barajas, California’s Rural Areas (“[C]oncerns remain, including hesitant consumers wary of ‘range anxiety,’ the fear of being stranded without the ability to recharge, or in some cases not having access to charging capacity at their apartment complex or work.”); Kampshoff, Building Electric-Vehicle Charging Infrastructure at 1 (“[N]early half of US consumers say that battery or charging issues are their top concerns about buying EVS.”); Nichols, Estimating Electric Vehicle Charging at 1 (“Exactly how much charging infrastructure will be needed and what it will cost are top questions for prospective electric vehicle owners.”). Until ade-quate home, workplace, and public charging infrastructure develops at the rate, in the places, and at the quality desired by consumers, consumers are unlikely to purchase anything close to the volume of electric vehicles that EPA intends to mandate that manufacturers provide. The agency has not offered a reasonable basis for assuming that the necessary expansions and improvements are possible, let alone likely, within less than a decade.",Charging infrastructure,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),Most Americans Prefer Gas-Powered Vehicles,Consumer desires,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),"Charging an EV typically costs owners less than fueling a conventional car, and EVs also have lower maintenance costs and faster acceleration. However, EVs cost substantially more than gas-powered vehicles, have shorter ranges, and can take a while to fully charge.",Cost of fuel/ charging ,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),"and EVs also have lower maintenance costs and faster acceleration. However, EVs cost substantially more than gas-powered vehicles, have shorter ranges, and can take a while to fully charge.",Vehicle utility,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),"Although some Americans want EVs, Americans generally prefer conventional vehicles. The Deloitte 2022 Global Automotive Study found that 69% of Americans prefer their next car purchase to be a gas-powered vehicle, 5% prefer an entirely battery-powered car, and 22% prefer\n\na hybrid vehicle. Range and price concerns were particularly important factors for respondents who prefer gas-powered vehicles; most Americans (53%) indicated they would not pay more for an electric vehicle (Edelstein, 2022) (Link: https://www.greencarreports.com/news/1134702_americans-dont-want-ev-yet-half-wont-pay-extra-for-electrified).",Consumer desires,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),"A recent survey of car dealerships also found that 45% of dealerships reported they would not sell EVs under any circumstances (Lewis, 2023) (Link: https://electrek.co/2023/05/09/us-car-dealers-evs/).",Other,Oppose,Oppose,True
American Freedom and America First Policy Institute (AFPI),"Another survey looked at all Americans—not just Californians—who purchased a new vehicle in 2017. That study found that about half of EV owners chose not to buy another EV when they bought a new car. Respondents indicated that range, recharging time, and reduced performance in cold weather were key reasons for switching back to gas-powered vehicles (Dua & Bansal, 2021, p. 3) (Link: https://www.kapsarc.org/research/publications/once-consumers-adopt-an-electric-vehicle-do-they-go-back/).",Vehicle utility,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),"After purchasing an EV, a significant proportion of drivers switch back to conventional vehicles. One study found that one-fifth of California EV owners returned to purchasing gas-powered vehicles, primarily because of the inconvenience of charging EVs (Powell et al., 2022, p. 39) (Link: https://javatar.bluematrix.com/pdf/N8T7PT0N).",Consumer desires,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),"However, EPA proposes to force automakers to primarily produce—and Americans to purchase—EVs. This EV mandate would create significant challenges for energy supply chains, particularly by creating mineral dependencies on foreign powers.",Feasibility of producing vehicles,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),2 The EV mandate also threatens many auto manufacturing jobs.,Other,Oppose,Support,False
American Freedom and America First Policy Institute (AFPI),"EVs appeal to some Americans, but without substantial government intervention, they would likely remain a niche market",Consumer desires,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"EPA offers no support for its conclusion that there will be substantial consumer adoption of ZEVs to achieve the increases projected by the Proposed Rule. To the contrary, recent polling shows that most Americans continue to say that they are unlikely, or will categorically refuse, to buy an EV. As just one example, a Gallup poll conducted in April revealed that only 4 percent of adults owned an EV and just 12 percent are seriously considering buying one. However, 41 percent of adults said they would never buy an EV, raising fundamental questions about how EPA can predict that ZEV sales will reach 67 percent in 2032.",Consumer desires,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"According to Wards Intelligence, through May 2023, Americans purchased 5. million ICEVs, representing 93 percent of all LDVs sold during the first five months. At this pace, more than 14 million new ICEVs will be purchased during 2023. With the continued sales of ICEVs, this Rule’s effort to limit the ability to purchase ICEVs, and more than 50 percent of ICEVs remaining in service, it is mindboggling, as discussed in Section IV. below, that EPA never considered the alternative scenarios using vehicle technologies and lower carbon fuels",Market challenges,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"Importantly, successful implementation of EPA’s Proposed Rule depends on consumer choice as much as it depends on technological improvements. But there is evidence that premature embrace of ZEV may backfire if consumers grow frustrated with inadequate infrastructure. Consumer market demand will not, and cannot, increase to meet the Proposal’s required supply. Charging capabilities is a key apprehension for nearly half the U.S. consumer market. \n\nFor example, in California, roughly one-fifth of consumers who initially purchased PHEVs or ZEVs subsequently went back to ICEVs based on frustration with convenience factors such as unavailability of charging. As the study on discontinuance cited by EPA states, “[R]ange isn’t correlated with discontinuance in PHEVs or ZEVs but satisfaction with and access to charging [is].”",Charging infrastructure,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"Those with multiple vehicles and a single-family home find it easier to continue ownership than those with fewer vehicles or living in multi-unit dwellings, which could lower ZEV adoption rates as the ZEV market becomes more mainstream. Finally, a survey of PHEV owners in California found that current PHEV would not purchase their PHEV without incentives, therefore EVs and PHEVs adoption may face more challenges over time. Moreover, EPA ignores that current ZEV sales are linked to mandates that force increased prices of ICEVs to subsidize the mandated ZEV sales. Those mandates are under judicial review.\n\nAs discussed in more detail below, consumer market demand will not, and cannot, increase to meet the Proposal’s required supply. Charging capabilities, which creates range anxiety, is a key apprehension for nearly half the U.S. consumer market.",Market challenges,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"EVs have less range, both technically and practically. As noted by J.D. Power, “[T]he majority of EVs provide between 200 and 300 miles of range on a full charge.”147",Vehicle utility,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"This same article, however, also noted that EVs with less\n\nthan 200-mile ranges (such as the 2022 Nissan Leaf at 149 miles or the 2022 Mazda MX-30 at 100 miles) are “either affordable or focused on performance.”148 With respect to longer range vehicles, claimed vehicle ranges of up to 516 miles are available, but this range comes at considerable cost. The number 1 range-rated vehicle by Car and Driver, the 2023 Lucid Air, carries a base price of $113,650. And while three out of the ten top-rated EVs by Car and Driver were more “reasonably priced” from $44,630 to $56,630, all other models within the top 10 cost anywhere from $74,800 to $110,295.\n\nEPA requests comment on their approach to determining charging time, as set forth in the DRIA, Chapter 4. EPA’s analysis is contingent on unsupported assumptions regarding (1) U.S. consumers’ adoption of and ability to purchase more expensive ZEVs (see Sections IV.B. and IV.E..ii);",Cost of purchasing vehicle,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"(3) the availability of critical minerals and metals to expand the supply of reliable and renewable electricity (see Section I.B); and (4) the availability of reliable and affordable charging for all users (see Sections IV.B.). Given the flaws in EPA’s methodology that omits significant data sources and other factors and makes unsupported assumptions, EPA should revise its analysis concerning charging time and continue with promulgating a final rule for future emissions standards, that accounts for the reality of today’s automotive market and not the public pronouncements of the automotive industry, a single state or group of states, or other unsupported estimates of future market growth.",Charging infrastructure,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"As previously mentioned, EPA did not fully consider the impact of the rule on fleet turnover. The Agency is aware that the higher purchase price of new ZEVs will keep older cars and trucks on the road longer and that new ZEVs will increase particulate matter (“PM”) emissions through increased tire and road wear.\n",Other,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"EPA’s Proposal fails to evaluate how government credits are embedded in vehicle pricing. For example, neither federal or state governments, or auto manufacturers explain how state ZEV credits, EPA GHG multiplier credits, and NHTSA CAFE EV multiplier credits are accounted for in both ZEV and ICEV vehicle price. There is increasing evidence that regulations which mandate EV sales—along with the cross-subsidies from gasoline and diesel vehicle buyers—are leading manufacturers to abandon sales of the least expensive and higher fuel economy gasoline and diesel vehicles that do not receive similar subsidization. Cox Automotive found that “in December 2017, automobile makers produced 36 models priced at $25,000 or less. Five years later, they built just 10,” pushing low-income buyers out of the new-car market and into the used-car market. Conversely, in December 2017 automobile manufacturers offered 61 models for sale with sticker prices of $60,000 or higher and in December 2022, they offered 90. This is unacceptable. EPA and its sister agencies cannot create credits and then claim they do not\n\naffect vehicle price solely because they have not sought to quantify them.\n\nTellingly, EPA never estimates the annual price of a comparable ZEV and ICEV, for each year in which EPA proposes standards. EPA’s bias towards EVs is demonstrated by EPA’s statement that its OMEGA modeling “now incorporates a consumer choice element. This means that the impacts of, for example, a $40,000 BEV versus a $35,000 ICE vehicle of similar utility (i.e., a 14 percent increase for the BEV) is a much different consideration than a $6,000 incremental BEV cost versus a $1,000 incremental ICE cost (a 500 percent increase for the BEV).”238 In other words, EPA set up its model to show the consumer price (not the actual real-world cost) of EVs have a lower percentage cost increase than the incremental absolute cost of switching from ICEVs to ZEVs",Cost of purchasing vehicle,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"For EPA to achieve its GHG reduction aspirations in this Proposed Rule, all three of these challenges must be met: (1) sufficient materials to manufacture the required EVs, chargers, and grid upgrades",Feasibility of producing vehicles,Neutral,Support,False
American Fuel & Petrochemical Manufacturers,"For EPA to achieve its GHG reduction aspirations in this Proposed Rule, all three of these challenges must be met: (1) sufficient materials to manufacture the required EVs, chargers, and grid upgrades, (2) consumer willingness to substitute ZEVs for ICEVs currently for sale, and",Consumer desires,Neutral,Support,False
American Fuel & Petrochemical Manufacturers,"For EPA to achieve its GHG reduction aspirations in this Proposed Rule, all three of these challenges must be met: (1) sufficient materials to manufacture the required EVs, chargers, and grid upgrades, (2) consumer willingness to substitute ZEVs for ICEVs currently for sale, and (3) a low-carbon power generation grid capable of reliably supplying energy for this mode of transportation.",Charging infrastructure,Neutral,Support,False
American Fuel & Petrochemical Manufacturers,"Combined with other issues, such as a disorderly transformation of the generation base as conventional units are replaced with intermittent resources, raises questions of the grid’s ability to reliably meet consumer demand on a regional basis. Despite these challenges, EPA incredibly assumes no increase in the cost of electricity to consumers (whether EV owners or others) associated with the proposed rulemaking. EPA underestimates the cost of electricity to all consumers, including EV owners, and omits the cost of grid upgrades and distributed energy resources have been excluded from these estimates.\n\nEPA incorrectly assumes that ZEV owners will pay the national average residential electricity price to charge their vehicles. EPA fails to consider that the majority of ZEVs in the U.S. are located in utility service territories with some of the highest electricity rates in the country and that the average EV owner currently pays a much higher price to charge their ZEV at home than the national average residential electricity rate. Given that EV penetration has varied widely across the U.S., it would be arbitrary to assume that EVs will, unlike in the past, penetrate\n\nuniformly across the U.S. and thus that the average electricity price would be representative of the actual cost electricity. For example, California, which has roughly 40 percent of all registered ZEVs in the U.S., has a residential electricity rate that is roughly double the national average. Considering that EPA is modeling its rule after a California-like approach to mandate ZEVs, it would be more appropriate for EPA to assume similar real-world costs (at a minimum, given California’s temperate climate).",Cost of fuel/ charging ,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"Moreover, EPA fails to consider that mandating such a high ZEV sales rate will necessarily require exponential increases in commercial ZEV charging at rates that are currently three, four or five times higher than the current national average residential electricity rate, depending on location and charging speed. Those customers who are not homeowners and not able to install their own charging stations and take advantage of charging at low-cost times will be adversely impacted. Instead, EPA uses a residential rate for electricity and does not consider peak power or time of use charges. California electric prices rose 42 percent -78 percent between 2010 and 2020 and are projected to rise an additional 50 percent by 2030 as shown in Figure 9.\n",Charging infrastructure,Oppose,Support,False
American Fuel & Petrochemical Manufacturers,"SEE ORIGINAL COMMENT FOR Historic and Forecasted Residential Average Rates Based on Most Recent 5-year Average Rate Increase. Figure 9: Source: Michael Shellenberger, Twitter (citing California Public Advocate’s Office data), April 27, 2021).",Other,Neutral,Support,False
American Fuel & Petrochemical Manufacturers,"Heaping additional demand for EV charging into this market could exacerbate already high electricity prices. This will be especially impactful to lower-income homeowners who may not be able to install dedicated charging units, forcing them to pay more out of pocket for charging during peak demand periods.\n\nEPA must revise its analysis to account for realistic electricity prices. The proposed ZEV mandate will require an enormous investment in power generation and distribution, resulting in nationwide increases in electricity bills that EPA has not considered. Of course, considering the additional trillions of dollars in costs would paint a clear picture that the costs of forced electrification far exceed even the inflated benefits EPA presented in the Proposed Rule.",Cost of fuel/ charging ,Oppose,Support,False
